Date,mean_RMSE,mean_MAE,mean_MAPE
2026-01-01,35.905838055555584,35.905838055555584,8.718019988375048
2026-01-02,35.45956930555556,35.45956930555556,9.716246019480991
2026-01-03,27.722526111111133,27.722526111111133,5.925728168783023
2026-01-04,25.795741805555554,25.795741805555554,5.272667731110936
2026-01-05,25.137068333333357,25.137068333333357,5.218030625474085
2026-01-06,26.698010000000025,26.698010000000025,7.079170814640543
2026-01-07,34.576238888888874,34.576238888888874,7.864585428960286
2026-01-08,39.19812833333338,39.19812833333338,10.478789446939802
2026-01-09,39.24847000000002,39.24847000000002,11.801775546367022
2026-01-10,15.343325833333344,15.343325833333344,4.614121023980704
2026-01-11,8.349560277777806,8.349560277777806,2.993817416361454
2026-01-12,10.823489722222229,10.823489722222229,3.3361073099381735
2026-01-13,20.36011583333335,20.36011583333335,5.865263036769851
2026-01-14,22.841633055555597,22.841633055555597,8.417350306495957
2026-01-15,16.466220833333388,16.466220833333388,7.006645896250774
2026-01-16,18.13088138888893,18.13088138888893,8.494272097790606
2026-01-17,12.226992222222243,12.226992222222243,4.922384097425591
2026-01-18,10.574132500000006,10.574132500000006,3.8932310375346093
2026-01-19,10.991615225396819,10.991615225396819,4.3237632322821415
2026-01-20,38.24369807539684,38.24369807539684,13.793117243030986
2026-01-21,21.403461547619067,21.403461547619067,8.62352748252793
2026-01-22,21.999777777777783,21.999777777777783,10.420648393343285
2026-01-23,26.147096944444463,26.147096944444463,10.831598402773269
